
--- TF 30m per pair ---
varian           pair   isi  win loss    wr%       R   avgR
A_2a_poi_idm_rng BTC    199   39  160  19.6%   -56.1  -0.28
B_2a_poi_nogate  BTC    224   56  168  25.0%   -23.5  -0.10
C_2a_poi_half    BTC     39   15   24  38.5%    +8.3  +0.21
I_nogate_half    BTC     39   16   23  41.0%   +11.6  +0.30
A_2a_poi_idm_rng ETH    164   33  131  20.1%   -53.6  -0.33
B_2a_poi_nogate  ETH    189   45  144  23.8%   -35.2  -0.19
C_2a_poi_half    ETH     36   11   25  30.6%    -0.7  -0.02
I_nogate_half    ETH     39   14   25  35.9%    +6.2  +0.16
A_2a_poi_idm_rng SOL    160   37  123  23.1%   -34.2  -0.21
B_2a_poi_nogate  SOL    179   46  133  25.7%   -22.0  -0.12
C_2a_poi_half    SOL     31   10   21  32.3%    -0.2  -0.01
I_nogate_half    SOL     36   13   23  36.1%    +3.9  +0.11
A_2a_poi_idm_rng XAU    176   55  119  31.6%   +31.6  +0.18
B_2a_poi_nogate  XAU    199   65  132  33.0%   +46.3  +0.23
C_2a_poi_half    XAU     51   20   30  40.0%   +14.0  +0.28
I_nogate_half    XAU     57   26   30  46.4%   +28.3  +0.50

--- TF 1H per pair ---
varian           pair   isi  win loss    wr%       R   avgR
A_2a_poi_idm_rng BTC    149   31  118  20.8%   -38.0  -0.25
B_2a_poi_nogate  BTC    177   44  133  24.9%   -21.9  -0.12
C_2a_poi_half    BTC     30   10   20  33.3%    +1.5  +0.05
I_nogate_half    BTC     32   11   21  34.4%    +2.5  +0.08
A_2a_poi_idm_rng ETH    159   40  119  25.2%   -18.3  -0.12
B_2a_poi_nogate  ETH    182   52  130  28.6%    -0.3  -0.00
C_2a_poi_half    ETH     25    9   16  36.0%    +8.0  +0.32
I_nogate_half    ETH     27   10   17  37.0%    +9.1  +0.34
A_2a_poi_idm_rng SOL    158   46  112  29.1%    -3.5  -0.02
B_2a_poi_nogate  SOL    181   56  125  30.9%   +10.0  +0.06
C_2a_poi_half    SOL     18    4   14  22.2%    -5.9  -0.33
I_nogate_half    SOL     23    8   15  34.8%    +1.6  +0.07
A_2a_poi_idm_rng XAU    150   44  106  29.3%   +15.2  +0.10
B_2a_poi_nogate  XAU    161   53  108  32.9%   +35.9  +0.22
C_2a_poi_half    XAU     37   12   25  32.4%    +2.5  +0.07
I_nogate_half    XAU     38   13   25  34.2%    +4.8  +0.13
